count_score,SCORE,FACILITY
1229,0,0
5,1,0
16,2,0
92,3,0
314,4,0
108,5,0
63,0,402
1,2,402
6,3,402
8,4,402
6,5,402
62,0,405
1,1,405
1,2,405
2,3,405
14,4,405
4,5,405
62,0,436
2,2,436
3,3,436
9,4,436
8,5,436
63,0,437
1,2,437
1,3,437
11,4,437
8,5,437
62,0,438
4,3,438
9,4,438
9,5,438
62,0,442
6,3,442
9,4,442
7,5,442
70,0,459
9,3,459
3,4,459
2,5,459
63,0,460
3,2,460
3,3,460
6,4,460
9,5,460
70,0,463
3,3,463
7,4,463
4,5,463
59,0,501
2,2,501
7,3,501
12,4,501
4,5,501
63,0,502
5,3,502
9,4,502
7,5,502
64,0,503
1,2,503
1,3,503
6,4,503
12,5,503
61,0,504
3,3,504
10,4,504
10,5,504
61,0,506
3,2,506
6,3,506
7,4,506
7,5,506
59,0,508
4,3,508
14,4,508
7,5,508
59,0,509
1,2,509
3,3,509
13,4,509
8,5,509
59,0,512
1,1,512
1,2,512
2,3,512
14,4,512
7,5,512
65,0,515
1,2,515
2,3,515
9,4,515
7,5,515
59,0,516
1,1,516
1,2,516
3,3,516
13,4,516
7,5,516
63,0,517
1,1,517
1,2,517
2,3,517
9,4,517
8,5,517
70,0,518
3,3,518
8,4,518
3,5,518
68,0,519
4,3,519
4,4,519
8,5,519
62,0,520
3,3,520
12,4,520
7,5,520
59,0,521
6,3,521
14,4,521
5,5,521
62,0,526
2,2,526
4,3,526
12,4,526
4,5,526
59,0,528
1,1,528
3,3,528
14,4,528
7,5,528
70,0,529
2,3,529
7,4,529
5,5,529
61,0,531
2,3,531
15,4,531
6,5,531
62,0,534
4,3,534
12,4,534
6,5,534
60,0,537
1,1,537
1,2,537
5,3,537
10,4,537
7,5,537
63,0,538
6,3,538
8,4,538
7,5,538
60,0,539
3,3,539
16,4,539
5,5,539
61,0,540
1,2,540
3,3,540
14,4,540
5,5,540
59,0,541
1,2,541
3,3,541
13,4,541
8,5,541
66,0,542
1,2,542
3,3,542
7,4,542
7,5,542
62,0,544
3,3,544
9,4,544
10,5,544
59,0,546
1,1,546
1,2,546
6,3,546
