facility,year,score1,score2,score3,score4,score5
0,2010,3,17,55,282,105
402,2010,0,0,3,9,6
405,2010,0,1,3,11,4
436,2010,0,1,2,9,6
437,2010,0,1,2,9,6
438,2010,0,0,2,9,7
442,2010,0,0,2,9,7
459,2010,0,0,2,7,2
460,2010,0,2,1,7,8
463,2010,0,0,1,6,4
501,2010,0,1,4,11,5
502,2010,0,0,4,7,6
503,2010,0,0,2,6,9
504,2010,0,0,3,8,8
506,2010,0,1,4,8,7
508,2010,0,0,2,16,3
509,2010,1,0,4,12,4
512,2010,1,2,2,12,4
515,2010,0,1,1,8,6
516,2010,0,1,3,11,6
517,2010,0,1,1,11,4
518,2010,0,0,1,4,6
519,2010,0,0,4,2,7
520,2010,0,0,2,9,8
521,2010,0,1,2,13,5
526,2010,0,0,3,12,5
528,2010,0,1,3,15,2
529,2010,0,1,1,5,4
531,2010,0,0,3,11,5
534,2010,0,1,4,8,8
537,2010,1,1,3,10,5
538,2010,0,1,2,10,4
539,2010,0,2,0,11,7
540,2010,0,0,2,13,4
541,2010,0,1,2,12,6
542,2010,0,0,1,6,7
544,2010,1,0,1,9,9
546,2010,1,2,3,11,4
548,2010,0,1,1,9,9
549,2010,0,1,2,14,4
550,2010,0,0,1,9,7
552,2010,0,1,4,10,4
553,2010,0,1,4,9,6
554,2010,0,1,2,12,5
556,2010,0,0,1,10,7
557,2010,0,0,2,9,6
558,2010,0,1,6,9,5
561,2010,1,1,1,10,5
562,2010,0,2,1,6,7
564,2010,0,2,3,7,6
565,2010,0,0,2,8,7
568,2010,0,1,0,7,10
570,2010,2,1,1,12,4
573,2010,1,0,3,12,5
575,2010,0,0,1,7,8
578,2010,1,1,0,13,6
580,2010,0,2,3,9,7
581,2010,1,0,2,9,8
583,2010,0,2,3,8,8
585,2010,0,0,2,9,6
586,2010,1,1,5,6,7
589,2010,0,0,3,13,4
590,2010,0,1,2,8,9
593,2010,0,1,0,11,6
595,2010,0,1,1,12,4
596,2010,0,0,3,13,5
598,2010,1,0,5,10,5
600,2010,1,0,2,12,6
603,2010,0,1,4,12,4
605,2010,1,2,5,7,6
607,2010,0,1,1,11,7
608,2010,0,0,1,7,3
612,2010,0,0,0,0,0
613,2010,0,1,2,11,6
614,2010,1,1,3,9,7
618,2010,0,1,4,10,6
619,2010,0,0,1,12,4
620,2010,0,1,2,7,5
621,2010,0,1,2,9,8
623,2010,0,0,5,9,5
626,2010,0,1,4,9,7
629,2010,0,0,1,8,2
630,2010,1,0,1,11,6
631,2010,0,0,2,7,2
632,2010,1,0,0,13,6
635,2010,0,4,1,11,5
636,2010,2,0,2,8,8
637,2010,2,0,3,11,4
640,2010,0,1,5,11,4
642,2010,1,2,2,11,4
644,2010,0,0,6,10,5
646,2010,1,1,3,10,6
648,2010,1,0,5,10,5
649,2010,0,2,3,8,4
650,2010,2,0,3,7,7
652,2010,0,0,4,13,4
653,2010,0,1,2,10,4
654,2010,0,1,2,9,9
655,2010,0,0,1,7,8
656,2010,0,0,1,6,4
657,2010,0,2,2,13,4
658,2010,0,0,7,9,3
659,2010,0,0,1,10,7
660,2010,0,0,4,10,7
662,2010,0,3,1,11,6
663,2010,0,4,4,8,5
664,2010,0,2,4,7,8
666,2010,1,0,3,5,6
667,2010,2,0,3,11,3
668,2010,0,0,4,7,7
671,2010,0,0,3,13,5
672,2010,2,1,1,11,6
673,2010,1,0,4,11,5
674,2010,0,1,3,14,3
675,2010,0,1,2,5,3
676,2010,0,0,2,7,7
678,2010,0,3,4,11,3
679,2010,0,1,1,6,3
687,2010,0,1,0,8,2
688,2010,0,1,3,13,4
689,2010,0,0,3,10,8
691,2010,0,3,1,12,5
692,2010,0,0,4,4,3
693,2010,0,0,3,8,8
695,2010,0,1,2,13,5
0,2011,3,17,55,282,105
402,2011,0,0,3,9,6
405,2011,0,1,3,11,4
436,2011,0,1,2,9,6
437,2011,0,1,2,9,6
438,2011,0,0,2,9,7
442,2011,0,0,2,9,7
459,2011,0,0,2,7,2
460,2011,0,2,1,7,8
463,2011,0,0,1,6,4
501,2011,0,1,4,11,5
502,2011,0,0,4,7,6
503,2011,0,0,2,6,9
504,2011,0,0,3,8,8
506,2011,0,1,4,8,7
508,2011,0,0,2,16,3
509,2011,1,0,4,12,4
512,2011,1,2,2,12,4
515,2011,0,1,1,8,6
516,2011,0,1,3,11,6
517,2011,0,1,1,11,4
518,2011,0,0,1,4,6
519,2011,0,0,4,2,7
520,2011,0,0,2,9,8
521,2011,0,1,2,13,5
526,2011,0,0,3,12,5
528,2011,0,1,3,15,2
529,2011,0,1,1,5,4
531,2011,0,0,3,11,5
534,2011,0,1,4,8,8
537,2011,1,1,3,10,5
538,2011,0,1,2,10,4
539,2011,0,2,0,11,7
540,2011,0,0,2,13,4
541,2011,0,1,2,12,6
542,2011,0,0,1,6,7
544,2011,1,0,1,9,9
546,2011,1,2,3,11,4
548,2011,0,1,1,9,9
549,2011,0,1,2,14,4
550,2011,0,0,1,9,7
552,2011,0,1,4,10,4
553,2011,0,1,4,9,6
554,2011,0,1,2,12,5
556,2011,0,0,1,10,7
557,2011,0,0,2,9,6
558,2011,0,1,6,9,5
561,2011,1,1,1,10,5
562,2011,0,2,1,6,7
564,2011,0,2,3,7,6
565,2011,0,0,2,8,7
568,2011,0,1,0,7,10
570,2011,2,1,1,12,4
573,2011,1,0,3,12,5
575,2011,0,0,1,7,8
578,2011,1,1,0,13,6
580,2011,0,2,3,9,7
581,2011,1,0,2,9,8
583,2011,0,2,3,8,8
585,2011,0,0,2,9,6
586,2011,1,1,5,6,7
589,2011,0,0,3,13,4
590,2011,0,1,2,8,9
593,2011,0,1,0,11,6
595,2011,0,1,1,12,4
596,2011,0,0,3,13,5
598,2011,1,0,5,10,5
600,2011,1,0,2,12,6
603,2011,0,1,4,12,4
605,2011,1,2,5,7,6
607,2011,0,1,1,11,7
608,2011,0,0,1,7,3
612,2011,0,0,0,0,0
613,2011,0,1,2,11,6
614,2011,1,1,3,9,7
618,2011,0,1,4,10,6
619,2011,0,0,1,12,4
620,2011,0,1,2,7,5
621,2011,0,1,2,9,8
623,2011,0,0,5,9,5
626,2011,0,1,4,9,7
629,2011,0,0,1,8,2
630,2011,1,0,1,11,6
